0,1,2,3,4,5,6,,,,,,,,,,,,,,
105,76,63,79,80,81,82,86,87,,,,,,,,,,,,
106,54,55,56,57,58,84,,,,,,,,,,,,,,
107,90,91,,,,,,,,,,,,,,,,,,
108,90,91,,,,,,,,,,,,,,,,,,
109,90,91,,,,,,,,,,,,,,,,,,
108,107,,,,,,,,,,,,,,,,,,,
109,107,,,,,,,,,,,,,,,,,,,
110,92,93,,,,,,,,,,,,,,,,,,
111,94,,,,,,,,,,,,,,,,,,,
112,95,,,,,,,,,,,,,,,,,,,
113,95,,,,,,,,,,,,,,,,,,,
114,112,,,,,,,,,,,,,,,,,,,
115,113,,,,,,,,,,,,,,,,,,,
116,119,,,,,,,,,,,,,,,,,,,
117,119,,,,,,,,,,,,,,,,,,,
118,119,,,,,,,,,,,,,,,,,,,
119,96,,,,,,,,,,,,,,,,,,,
120,97,,,,,,,,,,,,,,,,,,,
121,97,,,,,,,,,,,,,,,,,,,
122,16,,,,,,,,,,,,,,,,,,,
123,16,,,,,,,,,,,,,,,,,,,
124,122,,,,,,,,,,,,,,,,,,,
125,123,,,,,,,,,,,,,,,,,,,
124,19,,,,,,,,,,,,,,,,,,,
125,19,,,,,,,,,,,,,,,,,,,
126,127,128,,,,,,,,,,,,,,,,,,
126,19,,,,,,,,,,,,,,,,,,,
127,16,,,,,,,,,,,,,,,,,,,
128,16,,,,,,,,,,,,,,,,,,,
129,51,50,49,47,,,,,,,,,,,,,,,,
130,129,,,,,,,,,,,,,,,,,,,
130,47,,,,,,,,,,,,,,,,,,,
130,98,,,,,,,,,,,,,,,,,,,
131,107,110,111,114,115,119,120,121,,,,,,,,,,,,
131,99,,,,,,,,,,,,,,,,,,,
132,133,,,,,,,,,,,,,,,,,,,
133,44,,,,,,,,,,,,,,,,,,,
134,47,,,,,,,,,,,,,,,,,,,
135,150,,,,,,,,,,,,,,,,,,,
135,37,,,,,,,,,,,,,,,,,,,
136,46,,,,,,,,,,,,,,,,,,,
137,136,,,,,,,,,,,,,,,,,,,
138,46,,,,,,,,,,,,,,,,,,,
139,137,114,115,,,,,,,,,,,,,,,,,
139,46,,,,,,,,,,,,,,,,,,,
140,150,,,,,,,,,,,,,,,,,,,
140,37,,,,,,,,,,,,,,,,,,,
141,27,28,29,36,,,,,,,,,,,,,,,,
142,27,28,29,36,,,,,,,,,,,,,,,,
143,27,28,29,36,,,,,,,,,,,,,,,,
144,27,28,29,36,,,,,,,,,,,,,,,,
145,160,114,115,137,,,,,,,,,,,,,,,,
146,148,107,110,145,,,,,,,,,,,,,,,,
147,124,125,159,,,,,,,,,,,,,,,,,
148,158,172,,,,,,,,,,,,,,,,,,
145,27,28,29,36,,,,,,,,,,,,,,,,
146,27,28,29,36,,,,,,,,,,,,,,,,
147,27,28,29,36,,,,,,,,,,,,,,,,
148,27,28,29,36,,,,,,,,,,,,,,,,
149,145,146,147,148,,,,,,,,,,,,,,,,
150,151,,,,,,,,,,,,,,,,,,,
151,147,,,,,,,,,,,,,,,,,,,
151,37,,,,,,,,,,,,,,,,,,,
150,37,,,,,,,,,,,,,,,,,,,
152,150,,,,,,,,,,,,,,,,,,,
153,150,,,,,,,,,,,,,,,,,,,
154,150,,,,,,,,,,,,,,,,,,,
155,150,,,,,,,,,,,,,,,,,,,
156,145,146,147,148,,,,,,,,,,,,,,,,
157,145,146,147,148,,,,,,,,,,,,,,,,
156,27,28,29,36,,,,,,,,,,,,,,,,
157,45,,,,,,,,,,,,,,,,,,,
158,131,,,,,,,,,,,,,,,,,,,
159,126,119,,,,,,,,,,,,,,,,,,
160,139,,,,,,,,,,,,,,,,,,,
161,114,115,137,139,145,160,,,,,,,,,,,,,,
162,146,147,107,119,150,151,159,,,,,,,,,,,,,
163,131,172,132,158,,,,,,,,,,,,,,,,
164,161,162,163,165,166,167,168,169,170,,,,,,,,,,,
165,122,,,,,,,,,,,,,,,,,,,
166,123,,,,,,,,,,,,,,,,,,,
167,127,,,,,,,,,,,,,,,,,,,
168,128,,,,,,,,,,,,,,,,,,,
169,116,117,118,,,,,,,,,,,,,,,,,
170,40,,,,,,,,,,,,,,,,,,,
171,150,151,,,,,,,,,,,,,,,,,,
172,131,,,,,,,,,,,,,,,,,,,
