NodeID,Cn,Id,Rn
0,15,9.54145854145854,197
2,9,0.0,200
6,10,9.66978021978022,187
7,7,39.01657092907094,159
8,7,39.01657092907094,159
9,11,33.98495254745255,129
10,10,30.31828588078589,139
11,7,11.595833333333331,168
12,8,4.116666666666667,63
13,8,4.116666666666667,63
14,6,50.438095238095244,168
15,5,18.655433455433457,177
16,12,10.783333333333333,63
17,1,0.0,177
23,7,0.0,200
24,3,0.0,193
25,4,0.0,193
26,4,0.0,193
33,1,0.0,200
39,6,0.0,63
40,7,24.77142857142857,168
41,1,0.0,177
43,3,0.6666666666666666,177
44,6,8.666666666666668,159
45,4,13.841666666666667,76
46,4,13.841666666666667,76
47,2,0.0,76
49,2,0.0,76
51,2,0.0,76
52,4,236.00000000000006,76
55,3,94.49999999999999,76
56,3,94.49999999999999,76
57,8,220.58479853479852,76
58,8,220.58479853479852,76
59,5,212.5,76
60,10,54.70396825396825,76
61,10,54.70396825396825,76
62,16,2006.3900793650794,76
64,153,7337.887469474969,76
65,4,0.0,76
66,2,0.0,76
67,4,236.00000000000003,76
68,10,1246.2478632478635,76
69,6,103.9777777777778,76
70,6,103.9777777777778,76
71,10,948.666666666667,76
72,6,451.97222222222246,76
73,12,1076.4420634920637,76
74,6,2.0,76
75,4,236.0,76
76,2,0.0,76
78,8,212.30067155067152,76
79,6,3.6666666666666665,76
80,3,0.5,76
81,4,370.4554334554334,76
82,10,16.697420634920636,76
84,13,49.447420634920626,76
87,15,765.8318986568986,76
89,15,666.1375069375069,76
90,3,0.0,76
91,8,411.03874736374746,76
92,10,123.36904761904765,76
93,13,317.70000000000005,76
96,8,345.8242063492063,76
97,8,345.8242063492063,76
98,8,410.25,76
101,6,818.3739316239318,76
102,5,254.33333333333334,76
100,2,0.0,76
103,9,8.5,200
104,8,0.0,200
105,10,18.666666666666664,200
106,18,75.33333333333334,200
107,10,26.666666666666664,200
108,7,13.5,200
109,5,0.0,174
110,21,276.8083333333334,174
111,3,48.46666666666667,76
112,1,0.0,200
113,1,0.0,200
114,2,71.16666666666666,159
115,1,0.0,200
116,1,0.0,200
117,10,0.0,200
118,2,0.0,200
119,9,2.0,200
120,6,5.0,200
121,5,0.0,200
122,5,0.0,200
123,4,0.0,200
124,23,239.83334027084035,97
125,10,0.0,200
126,15,252.7952380952381,76
127,8,0.0,200
132,4,0.0,200
133,5,0.0,200
134,8,0.0,200
135,6,0.0,200
136,9,9.0,200
137,7,4.166666666666667,200
138,5,6.0,200
139,14,0.0,200
140,12,0.0,200
141,7,0.0,200
142,10,5.0,200
143,8,0.0,200
144,10,12.5,200
146,3,0.0,200
147,3,0.0,200
148,7,50.628571428571426,76
149,3,4.5,200
152,17,17.03616244866244,187
153,11,0.0,200
155,4,0.0,200
161,4,0.0,200
162,4,0.0,200
163,9,4.5,200
164,9,8.5,200
165,2,0.0,200
166,13,0.0,200
167,7,0.0,200
168,15,0.0,200
169,11,0.0,200
170,5,0.0,200
171,10,0.0,200
172,2,0.0,200
173,3,0.0,200
174,9,0.0,200
175,2,0.0,200
176,2,0.0,200
177,3,0.0,200
178,5,0.0,200
179,8,0.0,200
180,9,0.0,200
181,4,0.0,200
182,2,0.0,200
183,2,0.0,200
184,2,0.0,200
185,2,0.0,200
186,5,0.0,200
187,17,0.0,200
188,5,0.0,200
189,4,0.0,200
190,2,0.0,200
191,2,0.0,200
192,2,0.0,200
193,1,0.0,200
194,1,0.0,200
195,1,0.0,200
196,1,0.0,200
197,1,0.0,200
198,1,0.0,200
199,1,0.0,200
200,4,0.0,200
201,2,0.0,200
202,1,0.0,200
203,1,0.0,200
205,1,0.0,200
206,2,0.0,200
207,1,0.0,200
208,2,0.0,200
210,2,0.0,200
211,2,0.0,200
212,6,0.0,200
213,3,0.0,200
214,2,0.0,200
215,6,0.0,200
216,4,0.0,200
217,2,0.0,200
218,5,0.0,200
219,3,0.0,200
220,3,0.0,200
221,3,0.0,200
222,3,0.0,200
223,4,0.0,200
224,2,0.0,200
225,2,0.0,200
226,3,0.0,200
227,2,0.0,200
228,3,0.0,200
229,2,0.0,200
230,2,0.0,200
231,1,0.0,200
232,2,0.0,200
233,2,0.0,200
234,1,0.0,200
235,2,0.0,200
236,2,0.0,200
237,2,0.0,200
238,2,0.0,200
239,2,0.0,200
240,1,0.0,200
241,1,0.0,200
242,2,0.0,200
243,4,0.0,200
244,2,0.0,200
245,2,0.0,200
246,2,0.0,200
247,2,0.0,200
248,2,0.0,200
