NodeID,Cn,Id,Rn
0,14,6.99134199134199,162
2,9,0.0,165
6,10,9.683766233766235,152
7,7,36.34115884115885,124
8,7,36.34115884115885,124
9,10,22.874492174492165,94
10,9,19.207825507825497,104
12,8,4.116666666666667,28
13,8,4.116666666666667,28
14,6,42.63333333333334,133
15,5,18.76753246753247,142
16,12,10.783333333333333,28
17,1,0.0,142
39,6,0.0,28
40,7,24.799999999999997,133
41,1,0.0,142
43,3,0.6666666666666666,142
44,6,8.666666666666668,124
45,4,11.2,76
46,4,11.2,76
47,2,0.0,76
49,2,0.0,76
51,2,0.0,76
52,4,209.00000000000006,76
55,3,85.0,76
56,3,85.0,76
57,3,79.49999999999999,76
58,3,79.49999999999999,76
59,3,0.0,76
60,4,0.0,76
61,4,0.0,76
62,10,1112.0727106227112,76
64,143,5806.928438228438,76
65,4,0.0,76
66,2,0.0,76
67,4,208.99999999999997,76
68,10,1488.9999999999998,76
69,6,255.49999999999994,76
70,6,255.49999999999994,76
71,10,837.0000000000002,76
72,6,437.0833333333335,76
73,12,852.7976190476193,76
74,6,4.0,76
75,4,208.99999999999997,76
76,2,0.0,76
78,8,206.53419913419916,76
81,4,337.90086580086586,76
89,14,615.5218781218782,76
92,10,108.0666666666667,76
93,6,195.49999999999997,76
96,8,311.49578754578755,76
97,8,311.49578754578755,76
98,8,379.66666666666674,76
101,6,753.068181818182,76
102,5,225.83333333333334,76
100,2,0.0,76
103,8,8.5,165
104,8,0.0,165
105,10,18.666666666666664,165
106,18,75.33333333333334,165
107,9,23.666666666666664,165
108,6,13.5,165
109,5,0.0,165
110,17,92.0,165
111,3,40.66666666666667,76
112,1,0.0,165
113,1,0.0,165
114,2,55.33333333333332,124
115,1,0.0,165
116,1,0.0,165
117,10,0.0,165
118,2,0.0,165
119,9,2.0,165
120,6,5.0,165
121,5,0.0,165
122,5,0.0,165
123,4,0.0,165
124,22,153.60942390942387,84
125,10,0.0,165
126,14,62.0,76
127,8,0.0,165
132,4,0.0,165
134,8,0.0,165
135,6,0.0,165
136,9,9.0,165
137,7,4.166666666666667,165
138,5,6.0,165
139,14,0.0,165
140,12,0.0,165
141,7,0.0,165
142,10,5.0,165
143,8,0.0,165
144,10,12.5,165
152,17,18.701165501165494,152
153,11,0.0,165
155,4,0.0,165
161,4,0.0,165
162,4,0.0,165
163,9,4.5,165
164,9,8.5,165
165,2,0.0,165
166,12,0.0,165
167,5,0.0,165
168,14,0.0,165
169,10,0.0,165
170,5,0.0,165
171,10,0.0,165
172,2,0.0,165
173,3,0.0,165
174,9,0.0,165
175,2,0.0,165
176,2,0.0,165
177,3,0.0,165
178,5,0.0,165
179,8,0.0,165
180,9,0.0,165
181,4,0.0,165
182,2,0.0,165
183,2,0.0,165
184,2,0.0,165
185,2,0.0,165
186,5,0.0,165
187,17,0.0,165
188,5,0.0,165
189,4,0.0,165
190,2,0.0,165
191,2,0.0,165
192,2,0.0,165
193,1,0.0,165
194,1,0.0,165
195,1,0.0,165
196,1,0.0,165
197,1,0.0,165
198,1,0.0,165
199,1,0.0,165
200,4,0.0,165
201,2,0.0,165
202,1,0.0,165
203,1,0.0,165
205,1,0.0,165
206,2,0.0,165
207,1,0.0,165
208,2,0.0,165
210,2,0.0,165
211,2,0.0,165
212,6,0.0,165
213,3,0.0,165
214,2,0.0,165
215,6,0.0,165
216,4,0.0,165
217,2,0.0,165
218,5,0.0,165
219,3,0.0,165
220,3,0.0,165
221,3,0.0,165
222,3,0.0,165
223,4,0.0,165
224,2,0.0,165
225,2,0.0,165
226,3,0.0,165
227,2,0.0,165
228,3,0.0,165
229,2,0.0,165
230,2,0.0,165
231,1,0.0,165
232,2,0.0,165
233,2,0.0,165
234,1,0.0,165
235,2,0.0,165
236,2,0.0,165
237,2,0.0,165
238,2,0.0,165
239,2,0.0,165
240,1,0.0,165
241,1,0.0,165
242,2,0.0,165
244,2,0.0,165
245,2,0.0,165
246,2,0.0,165
247,2,0.0,165
248,2,0.0,165
