NodeID,Cn,Id,Rn
0,16,0.0009707955426609862,250
1,24,0.0006116207951070337,257
2,16,0.0,265
3,24,0.0,265
6,13,0.003869123759541702,240
7,13,0.010621967867153482,175
8,13,0.010621967867153482,175
9,12,0.007025815669910281,145
10,11,0.005808237235206463,155
11,8,0.000965014477407846,185
12,10,0.0006186997394948467,79
13,10,0.0006186997394948467,79
14,5,0.0005091823644321095,221
15,5,0.001812252665973359,230
16,14,0.0011850152905198779,79
17,1,0.0,230
18,13,0.002957329329239271,199
19,9,0.0005999629240824964,209
20,18,0.007425199240638801,209
21,16,0.0027572078573378815,220
22,5,0.00016112644110390773,197
23,12,0.003505219769906715,204
24,4,7.702374835804742e-05,197
25,5,7.702374835804742e-05,197
26,5,7.702374835804742e-05,197
27,10,0.0003998683061164324,250
29,7,0.0002300945208842313,250
30,13,0.002574304894456448,187
31,13,0.004390438532441544,225
32,9,0.006160363748619557,230
33,4,0.00010664842469123814,220
37,2,0.0,208
38,4,0.005998869085005681,210
39,6,0.0,79
40,7,0.0022389189578952986,221
41,2,0.0008494733265375468,230
43,3,5.6631555102503115e-05,230
44,6,0.0007362102163325407,212
45,4,0.0017315460995379441,66
46,4,0.0017315460995379441,66
47,2,0.0,66
49,2,0.0,66
51,2,0.0,66
52,4,0.011467889908256881,66
53,2,0.0,66
54,2,0.0,66
55,2,0.0,66
56,2,0.0,66
57,12,0.0077671757449577885,66
58,12,0.0077671757449577885,66
59,10,0.013833639313879868,66
60,14,0.0028224990165913832,66
61,14,0.0028224990165913832,66
62,20,0.08549031829773525,66
63,6,0.023243841163356063,66
64,28,0.18135279981057018,66
65,4,0.0,66
66,2,0.0,66
67,4,0.011467889908256881,66
68,10,0.04344344815015497,66
69,6,0.0031721244699823006,66
70,6,0.0031721244699823006,66
71,10,0.0470721783446644,66
72,6,0.008631084153510247,66
73,16,0.08772391500774906,66
74,6,0.00013348866559875734,66
75,6,0.011467889908256881,66
76,2,0.0,66
77,4,0.0,66
78,8,0.005984691866445178,66
79,10,0.0024173139751481176,66
80,6,0.0008129447477051965,66
81,4,0.010617424162276358,66
82,17,0.009156995733232436,66
83,5,0.013692265845680729,66
84,19,0.02130487170383356,66
85,20,0.008214568485498518,66
86,17,0.0072818485375528985,66
87,22,0.019988109507907827,66
88,25,0.024784459156404058,66
89,17,0.04323594340093979,66
90,4,0.0013202602045019743,66
91,10,0.017892009584079,66
92,10,0.016011431326094134,66
93,19,0.05508032619311784,66
96,8,0.014677520259901287,66
97,8,0.014677520259901287,66
98,8,0.006948691811077132,66
99,10,0.030822143890508604,66
101,6,0.021909411572195645,66
102,5,0.006584107788236229,66
100,2,0.0,66
103,0,0.0,265
104,0,0.0,265
105,0,0.0,265
106,0,0.0,265
107,0,0.0,265
108,0,0.0,265
109,0,0.0,265
110,0,0.0,265
111,0,0.0,265
112,0,0.0,265
113,0,0.0,265
114,0,0.0,265
115,0,0.0,265
116,0,0.0,265
117,0,0.0,265
118,0,0.0,265
119,0,0.0,265
120,0,0.0,265
