0	1	2	3	4	5	95										
1	2	3	4	95												
2	95															
3	95															
4	95															
5	2	4	95													
6	0	1	2	3	4	5	95									
95																
78	45	46	72													
79	57	58														
80	59															
81	64															
82	62	60	61													
83	63															
84	62	60	61													
85	62	57	58	59	60	61										
86	62	57	58	59	60	61										
87	57	58	62	60	61											
88	57	58	59	62	60	61										
89	98	99	96	97	64											
90	64															
91	64															
92	102	65														
93	64															
94	77															
78																
79	18	29														
80	19	21														
81	15															
82	11	20	21	22	23	28	30									
83	28	37	38													
84	11	20	21	22	23	24	25	26	28							
85	20	21														
86																
87	18	30	31	32	20	27										
88	19	20	21	27	30	31										
89	7	8	9	10												
90	31															
91	9	10	31	33												
92	9	10	14	40												
93	20	21														
94	34	36														
78	81															
79	86	87	88													
80	88															
81																
82	85	86	87	88												
83																
84	85	86	87	88												
85	87	88														
86	85															
87	91															
88	91															
89																
90																
91	89															
92	89															
93	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	94
45	78															
46	78															
47																
48																
49																
50																
51																
52																
53																
54																
55																
56																
57	79	85	86	87	88											
58	79	85	86	87	88											
59	80	85	86	88												
60	82	84	85	86	87	88										
61	82	84	85	86	87	88										
62	82	84	85	86	87	88										
63	83															
64	89	90	91	93												
65	92															
66																
67																
68																
69																
70																
71																
72	78															
73																
74																
75																
76																
77	94															
96	89															
97	89															
98	89															
99	89															
101																
102	92															
100																
45	73															
46	73															
47	71															
48	71															
49	71															
50	71															
51	52															
52	51	71														
53	99															
54	99															
55	96															
56	97															
57	70															
58	69															
59	64															
60	62															
61	62															
62	60	61	64	73												
63	64	73														
64	98	99	68	59	62	63	75	77	101							
65	102															
66	67															
67	66	68														
68	69	70	64	67	74											
69	58	68	74													
70	57	68	74													
71	47	48	49	50	52	73	72									
72	71	101														
73	45	46	99	96	97	62	63	71								
74	69	70	68													
75	64	76	77													
76	75															
77	64	75														
96	55	98	73													
97	56	98	73													
98	96	97	64													
99	53	54	64	73												
101	64	100	72													
102	65	64														
100	101															
7	0	1	2	3	4	5	95									
8	0	1	2	3	4	5	95									
9	0	1	2	3	4	5	95									
10	0	1	2	3	4	5	95									
11	0	1	3	95												
12	0	1	2	3	4	5	95									
13	0	1	2	3	4	5	95									
14	0	6														
15	0	6														
16	0	1	2	3	4	5	6	95								
17	6															
18	1	3	95													
19	1	3	95													
20	1	2	3	95												
21	1	2	3	4	5	95										
22	1	3	4	5	95											
23	1	3	95													
24	1	3	4	5	95											
25	1	3	5	95												
26	1	3	5	95												
27	1	2	95													
28	1	2	5	95												
29	1	2	95													
30	1	2	3	95												
31	2	3	95													
32	3	6	95													
33	3	95														
34	4	95														
35	4	95														
36	4	95														
37	5	95														
38	5	95														
39	6															
40	0															
41	6															
43	6															
44	0	6	95													
7	18	20	21	27	32	40										
8	18	20	21	27	32	40										
9	7	8	10													
10	7	8														
11	23	25	26													
12	9	16	44	43												
13	9	16	44	43												
14	40															
15																
16	10	12	13	15	39	44										
17																
18	19	20	21	27	29	32										
19	21	27	29													
20	21	27	29	32	31											
21	31															
22	23															
23	20	21	31													
24	23															
25	23															
26	23															
27																
28	34	36														
29																
30	18	19	27	28	29	31	32	33	36							
31	28	32														
32																
33	31															
34	36															
35	36	34														
36																
37	38															
38	41	31														
39	12	13	15	16												
40	14															
41																
43																
44	40															
